"Line Type","Billing Source","Billing Account","Billing Country Code","Invoice Date","Invoice Number","Shipment Number","Shipment Date","Shipment Reference 1","Shipment Reference 2","Shipment Reference 3","Weight (kg)","Weight Flag","Senders Name","Senders Country","Receivers Country","Currency","Total amount (excl. VAT)","Total amount (incl. VAT)","XC1 Code","XC1 Name","XC1 Charge","XC1 Total","XC2 Code","XC2 Name","XC2 Charge","XC2 Total","XC3 Code","XC3 Name","XC3 Charge","XC3 Total","XC4 Code","XC4 Name","XC4 Charge","XC4 Total","XC5 Code","XC5 Name","XC5 Charge","XC5 Total","XC6 Code","XC6 Name","XC6 Charge","XC6 Total","XC7 Code","XC7 Name","XC7 Charge","XC7 Total","XC8 Code","XC8 Name","XC8 Charge","XC8 Total","XC9 Code","XC9 Name","XC9 Charge","XC9 Total","Original Invoice Number","Station Code","Invoice Identifier","Invoice Type","Payment Terms","Due Date","Parent Account","Billing Account Name","Billing Account Name (Additional)","Billing Address 1","Billing Address 2","Billing Address 3","Billing Postcode","Billing City","Billing State/Province","Billing Contact","VAT Number","Country Specific Label","Country Specific Value","Product","Product Name","Pieces","Origin","Orig Name","Orig Country Code","Orig Country Name","Senders Address 1","Senders Address 2","Senders Address 3","Senders Postcode","Senders City","Senders State/Province","Senders Contact","Destination","Dest Name","Dest Country Code","Dest Country Name","Receivers Name","Receivers Address 1","Receivers Address 2","Receivers Address 3","Receivers Postcode","Receivers City","Receivers State/Province","Receivers Contact","Proof of Delivery/Name","Description of Contents","Event Description","Dimensions","Cust Scale Weight (A)","DHL Scale Weight (B)","Cust Vol Weight (V)","DHL Vol Weight (W)","Tax Code","Total Tax","Tax Adjustment","Invoice Fee","Weight Charge","Weight Tax (VAT)","Other Charges 1","Other Charges 1 Amount","Other Charges 2","Other Charges 2 Amount","Discount 1","Discount 1 Amount","Discount 2","Discount 2 Amount","Discount 3","Discount 3 Amount","Total Extra Charges (XC)","Total Extra Charges Tax","XC1 Tax Code","XC1 Tax","XC1 Discount","XC2 Tax Code","XC2 Tax","XC2 Discount","XC3 Tax Code","XC3 Tax","XC3 Discount","XC4 Tax Code","XC4 Tax","XC4 Discount","XC5 Tax Code","XC5 Tax","XC5 Discount","XC6 Tax Code","XC6 Tax","XC6 Discount","XC7 Tax Code","XC7 Tax","XC7 Discount","XC8 Tax Code","XC8 Tax","XC8 Discount","XC9 Tax Code","XC9 Tax","XC9 Discount"
"I","BBP","196946120","DE","20260331","MUC2684030563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MUC","MUC2684030563I","Invoice","Net 14 Days","20260414","","Acme Corp GmbH","","Musterstraße 1","","","80331","München","","","DE936725700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","8693906809","20260303","","","","10.1","","","","GB","EUR","138.56","164.89","DE","Duties & Taxes Advanced","8.95","8.95","AE","Address Correction","6.66","6.66","OS","Oversize Piece","2.36","2.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Charlene Ward-Miller","9 Howard Union","","","S97 4JY","New Kate","","","","","","","","","","","N","26.33","","","120.59","","","","","","","","","","","","17.97","0.00","N","0.00","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","3391005566","20260317","","","","3.7","","","","GB","EUR","84.30","100.32","OS","Oversize Piece","15.76","15.76","PP","Premium 10:30","15.63","15.63","DE","Duties & Taxes Advanced","16.29","16.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS 12:00 doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Denise Watson","Flat 78
Gary Tunnel","","","RM1 5PD","East Ambermouth","","","","","","","","","","","N","16.02","","","36.62","","","","","","","","","","","","47.68","0.00","N","0.00","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","4339666456","20260326","","","","9.7","","","","GB","EUR","102.08","121.48","PP","Premium 10:30","3.41","3.41","DE","Duties & Taxes Advanced","2.32","2.32","AE","Address Correction","13.71","13.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS 9:00 doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Thomas Green","Flat 66
King Fords","","","E30 8PW","Dylanberg","","","","","","","","","","","N","19.40","","","82.64","","","","","","","","","","","","19.44","0.00","N","0.00","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","6935433564","20260325","","","","16.8","","","","GB","EUR","133.35","158.69","PP","Premium 10:30","16.41","16.41","DE","Duties & Taxes Advanced","4.51","4.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE nondoc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Charlene Hall","903 Dennis Street","","","SP0R 8BW","Raymondbury","","","","","","","","","","","N","25.34","","","112.43","","","","","","","","","","","","20.92","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","6152800445","20260313","","","","10.0","","","","GB","EUR","90.25","107.40","AE","Address Correction","4.06","4.06","FF","Fuel Surcharge","6.06","6.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Frank Taylor","Flat 9
Kathryn Club","","","ME5N 8JU","Catherineside","","","","","","","","","","","N","17.15","","","80.13","","","","","","","","","","","","10.12","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","7187987457","20260316","","","","4.5","","","","GB","EUR","78.15","93.00","SD","Saturday Delivery","13.75","13.75","OS","Oversize Piece","7.03","7.03","DE","Duties & Taxes Advanced","17.30","17.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Ms Donna James","8 Taylor Stream","","","S86 7TQ","South Richardchester","","","","","","","","","","","N","14.85","","","40.07","","","","","","","","","","","","38.08","0.00","N","0.00","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","5880156463","20260308","","","","6.7","","","","GB","EUR","54.70","65.09","RC","Remote Area Delivery","4.20","4.20","OS","Oversize Piece","5.29","5.29","PP","Premium 10:30","7.71","7.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Dr Donald Hammond","1 Hunter Radial","","","LU0H 8UP","Hutchinsonfurt","","","","","","","","","","","N","10.39","","","37.50","","","","","","","","","","","","17.20","0.00","N","0.00","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","8849141422","20260305","","","","19.3","","","","GB","EUR","138.20","164.46","DE","Duties & Taxes Advanced","13.04","13.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE nondoc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Jason Humphreys","792 Smith Street","","","HD2E 6HL","West Jacobview","","","","","","","","","","","N","26.26","","","125.16","","","","","","","","","","","","13.04","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","2763541425","20260317","","","","10.6","","","","GB","EUR","135.88","161.70","PP","Premium 10:30","7.31","7.31","FF","Fuel Surcharge","3.64","3.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS 9:00 doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Miss Alexandra McCarthy","46 Paige Crossroad","","","B9T 3RW","West Arthur","","","","","","","","","","","N","25.82","","","124.93","","","","","","","","","","","","10.95","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","0761213563","20260314","","","","2.4","","","","GB","EUR","33.60","39.98","RC","Remote Area Delivery","11.50","11.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS WORLDWIDE doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Donald Reed","Studio 07
Brett Passage","","","E2D 6NG","North Richardbury","","","","","","","","","","","N","6.38","","","22.10","","","","","","","","","","","","11.50","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","5650452571","20260318","","","","0.8","","","","GB","EUR","32.86","39.10","RC","Remote Area Delivery","11.60","11.60","SD","Saturday Delivery","13.54","13.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS 12:00 doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Brandon Daly","98 King Ports","","","L4K 1SX","West Amandashire","","","","","","","","","","","N","6.24","","","7.72","","","","","","","","","","","","25.14","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
"S","","196946120","","20260331","MUC2684030563","5004165950","20260323","","","","12.1","","","","GB","EUR","118.41","140.91","RC","Remote Area Delivery","15.23","15.23","PP","Premium 10:30","8.94","8.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","EXPRESS 9:00 doc","1","MUC","","DE","Germany","","","","","","","","LHR","","GB","United Kingdom","Mrs Amelia Coles","Studio 16
Tracey Mountains","","","B9H 5QU","South Bethan","","","","","","","","","","","N","22.50","","","94.24","","","","","","","","","","","","24.17","0.00","N","0.00","0.00","N","0.00","0.00","","","","","","","","","","","","","","","","","","","","",""
