Sender name 2;Type;Sender name;Receiver name;Receiver name 2;Quantity order;Customer number;Customer name;Sender address;Sender ZIP;Sender city;Sender country;Invoice number;Invoice date;Parcel number;Shipment number;Destination zone;Commercial destination country;Service;Shipment date;Base price;Energy surcharge;Toll surcharge;Peak surcharge;System return surcharge;Oversized/Overweight surcharge;Customs surcharge;Total other surcharges;System return date;System return description;Oversized/Overweight description;Date of measurement;Depot of measurement;Weight;Length;Width;Height;Girth;Customer parcel reference 1;Customer shipment reference 1;Total amount;VAT percentage;Other surcharges codes
Mammoet;P;Swap Netherlands B.V.;Matthew Pham;Jackson-Walker;1;63196946;Acme Logistics NL B.V.;Mohammedhof 9;3022 BK;Westendorp;NL;26840305;20260331;79184603396001;120936;EU;US;Express;20260305;8.62;0.35;0.11;0.00;;0.00;0.00;0.72;;;;;;700;40;26;29;76;ORD-168261;ORD-168261;9.80;21;
Terry Groep;P;Swap Netherlands B.V.;Charlene Ward-Miller;Nicholson LLC;1;66888433;Acme Logistics NL B.V.;Juliussingel 31;2974EW;Babberich;NL;05566517;20260331;77960076935433;966645;INT;GB;Shop Delivery;20260316;7.75;0.63;0.39;1.25;;0.00;0.00;0.00;;;;;;2600;42;25;20;118;ORD-328865;ORD-328865;10.02;21;
Geerling BV;P;Swap Netherlands B.V.;Denise Watson;Atkinson-Carter;1;76964474;Acme Logistics NL B.V.;Koenweg 72;5403 TX;Scharmer;NL;60987472;20260331;74069815441672;127187;EU;GB;Shop Return;20260319;5.37;0.84;0.38;1.04;;0.00;0.00;3.44;;;;;;2900;57;33;20;121;ORD-519572;ORD-519572;11.07;21;
Brouwer & Koning;P;Swap Netherlands B.V.;Thomas Green;Bates-Wilson;1;33439835;Acme Logistics NL B.V.;Isabelsingel 984;8903GX;Gelderswoude;NL;23132839;20260331;41425546063107;792062;INT;GB;Classic;20260306;13.24;0.52;0.24;2.23;;6.96;0.00;2.38;;;;;;2700;51;33;17;117;ORD-782889;ORD-782889;25.57;21;
van Maasgouw NV;P;Swap Netherlands B.V.;Isis Vastenhouw-Wunderink;van Ommeren & Waardeloo;1;52571506;Acme Logistics NL B.V.;Wesselsteeg 87;8914JT;Dalem;NL;29556504;20260331;59507496384122;225750;EU;NL;Classic;20260325;4.90;0.63;0.39;0.00;;0.00;7.96;0.00;;;;;;1300;40;14;18;139;ORD-957402;ORD-957402;13.88;21;
SBS Broadcasting;P;Swap Netherlands B.V.;Kevin Parker;Kelly, Jensen and Fischer;1;20271650;Acme Logistics NL B.V.;Kayleighsingel 671;2461GF;Een;NL;15565462;20260331;46112307377609;671714;NL;US;Shop Delivery;20260317;7.32;0.37;0.31;0.54;;0.00;0.00;0.00;;;;;;2200;48;14;25;128;ORD-807513;ORD-807513;8.54;21;
Mathol Groep;P;Swap Netherlands B.V.;Jayson Oversteeg;Emmen & VI;1;13616825;Acme Logistics NL B.V.;Mohammedsingel 84;8591ZN;Aadorp;NL;71760982;20260331;93807206983360;412233;INT;NL;Shop Return;20260321;5.43;0.30;0.15;0.00;;0.00;0.00;1.10;;;;;;600;37;16;17;131;ORD-309045;ORD-309045;6.98;21;
McDonalds;P;Swap Netherlands B.V.;Charlene Hall;Lewis, Marsden and Peters;1;38173103;Acme Logistics NL B.V.;Samhof 23;7809 NW;Nij Beets;NL;51180344;20260331;31528308213229;691087;NL;GB;Shop Delivery;20260312;9.31;0.84;0.22;0.00;;4.03;10.10;0.00;;;;;;1900;59;14;30;80;ORD-289498;ORD-289498;24.50;21;
Ten Brinke Groep;P;Swap Netherlands B.V.;Beau Blom;Diesbergen & Lankle;1;11765625;Acme Logistics NL B.V.;Simonstraat 59;1807 VG;Vredenheim;NL;93877784;20260331;77229604990999;298377;NL;NL;Shop Delivery;20260319;7.38;0.20;0.25;0.00;;0.00;0.00;3.05;;;;;;2900;55;39;26;114;ORD-263470;ORD-263470;10.88;21;
Koninklijke Otto;P;Swap Netherlands B.V.;Frank Taylor;Russell Ltd;1;79874625;Acme Logistics NL B.V.;Liekeboulevard 8;9445UX;Oosterstreek;NL;54121084;20260331;56852610648658;749814;INT;GB;Express;20260315;10.62;0.30;0.30;0.00;;6.74;8.26;0.00;;;;;;1700;32;40;11;98;ORD-957894;ORD-957894;26.22;21;
