Billing Country/Territory,Invoice Type,Settlement Type,Bill to Account Number,Government Number,FedEx Invoice Number,Invoice Date,Due Date,Bill to Currency,Total Standard Charges,Total Discounts,Total Surcharges,Total Taxes,Original Amount Due,Alternate Currency,Alternate Currency Exchange Rate,Air Waybill Number,Bill To,Shipper Reference 1,Shipper Reference 2,Shipper Reference 3,POD Date,POD Time,POD Name,Ship Date (formatted),Ship Date,Tendered Date,Service,Packaging,SvcPkg Label,Origin Station,Destination Station,Pieces,Actual Weight,Actual Weight Units,Meter Number,Child Account Number,Master Air Waybill Number,Sender Company Name,Sender Contact Name,Sender Address Line 1,Sender Address Line 2,Sender Address Line 3,Sender Address City,Sender Address State,Sender Address Postal,Sender Address Country/Territory,Recipient Company Name,Recipient Contact Name,Recipient Address Line 1,Recipient Address Line 2,Recipient Address Line 3,Recipient Address City,Recipient Address State,Recipient Address Postal,Recipient Address Country/Territory,MPS Package Tracking ID,Dim Length,Dim Width,Dim Height,Dim Divisor,Dim Unit,Rated Weight Amount,Rated Weight Units,Zone Code,Air Waybill Total Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,205.14,,,,2186.15,,,648658646259,Shipper,,,,,,,3/4/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,18.2,KG,,,,Mammoet,Rosa Walsteijn,Mohammedhof 9,,,Westendorp,,3022 BK,NL,Terry Groep,Eline Roose-Overeem,Juliussingel 31,,,Babberich,,2974EW,NL,,,,,,,18.2,KG,2,205.14,Declared Value Charge,11.73,Remote Area Surcharge,9.12,Saturday Delivery,17.92,Transportation Charge,166.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,55.77,,,,2186.15,,,068898407174,Shipper,,,,,,,3/16/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,7.4,KG,,,,Geerling BV,Roos Everts,Koenweg 72,,,Scharmer,,5403 TX,NL,Brouwer & Koning,Cornelis Eelman,Isabelsingel 984,,,Gelderswoude,,8903GX,NL,,,,,,,7.4,KG,4,55.77,Additional Handling Charge,24.83,Remote Area Surcharge,10.48,Fuel Surcharge,20.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,11.18,,,,2186.15,,,342968548687,Shipper,,,,,,,3/20/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,1.8,KG,,,,van Maasgouw NV,Catharina Perkins,Wesselsteeg 87,,,Dalem,,8914JT,NL,van Ommeren & Waardeloo,Isis Vastenhouw-Wunderink,Lotpad 872,,,Echten,,7840BW,NL,,,,,,,1.8,KG,3,11.18,Declared Value Charge,3.07,Remote Area Surcharge,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,16.29,,,,2186.15,,,914829795993,Shipper,,,,,,,3/24/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,17.5,KG,,,,SBS Broadcasting,Evy van Amstel,Kayleighsingel 671,,,Een,,2461GF,NL,Mathol Groep,Suus de Werd-van Tuijl,Mohammedsingel 84,,,Aadorp,,8591ZN,NL,,,,,,,17.5,KG,3,16.29,Duty and Tax Forwarding Charge,12.76,Declared Value Charge,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,198.86,,,,2186.15,,,566548630567,Shipper,,,,,,,3/24/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,16.5,KG,,,,Emmen & VI,Jayson Oversteeg,Haileypad 22,,,Peest,,7455YV,NL,McDonalds,Leon van Spreeuwel,Samhof 23,,,Nij Beets,,7809 NW,NL,,,,,,,16.5,KG,2,198.86,Saturday Delivery,21.20,Additional Handling Charge,28.48,Declared Value Charge,7.21,Transportation Charge,141.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,59.35,,,,2186.15,,,919202234302,Shipper,,,,,,,3/4/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,6.8,KG,,,,Ten Brinke Groep,Sarah van der Heijden,Simonstraat 59,,,Vredenheim,,1807 VG,NL,Diesbergen & Lankle,Beau Blom,Sjoerdlaan 92,,,Oud-Vossemeer,,5013 LH,NL,,,,,,,6.8,KG,3,59.35,Fuel Surcharge,12.02,Additional Handling Charge,20.53,Saturday Delivery,17.82,Remote Area Surcharge,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,152.50,,,,2186.15,,,357133978457,Shipper,,,,,,,3/18/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,6.8,KG,,,,Koninklijke Otto,Maya Beekman,Liekeboulevard 8,,,Oosterstreek,,9445UX,NL,Grolsch,Jules Beijring,Jentesteeg 80,,,Zwiggelte,,6975 TF,NL,,,,,,,6.8,KG,3,152.50,Saturday Delivery,21.66,Transportation Charge,120.80,Declared Value Charge,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,48.74,,,,2186.15,,,254091345011,Shipper,,,,,,,3/1/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,12.9,KG,,,,Rackham & Michiels,Maja Heribert van Laon,Abelbaan 256,,,Kesteren,,8047 SP,NL,van Noort & Michielsen,Jelte van der Meer,Robinlaan 04,,,Oosterleek,,2398MC,NL,,,,,,,12.9,KG,3,48.74,Additional Handling Charge,23.02,Duty and Tax Forwarding Charge,15.93,Remote Area Surcharge,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,265.73,,,,2186.15,,,897213016959,Shipper,,,,,,,3/21/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,17.6,KG,,,,van der Avoirt & le Floch,Ayoub van der Linden,Jasmijnstraat 97,,,Westerbeek,,6423UA,NL,Smit Groep,Pim Zeemans,Adamring 428,,,Lutjebroek,,4795 FB,NL,,,,,,,17.6,KG,4,265.73,Transportation Charge,239.82,Saturday Delivery,17.28,Remote Area Surcharge,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,66.17,,,,2186.15,,,265418506806,Shipper,,,,,,,3/13/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,18.7,KG,,,,van Mook & Emmen,Yinthe Sterkman,Rosalielaan 43,,,Anjum,,3199 TQ,NL,le Matelot & Broek,Robin Kort,Kyanohof 656,,,Boxmeer,,4636NX,NL,,,,,,,18.7,KG,4,66.17,Remote Area Surcharge,8.30,Fuel Surcharge,26.99,Additional Handling Charge,30.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
