Billing Country/Territory,Invoice Type,Settlement Type,Bill to Account Number,Government Number,FedEx Invoice Number,Invoice Date,Due Date,Bill to Currency,Total Standard Charges,Total Discounts,Total Surcharges,Total Taxes,Original Amount Due,Alternate Currency,Alternate Currency Exchange Rate,Air Waybill Number,Bill To,Shipper Reference 1,Shipper Reference 2,Shipper Reference 3,POD Date,POD Time,POD Name,Ship Date (formatted),Ship Date,Tendered Date,Service,Packaging,SvcPkg Label,Origin Station,Destination Station,Pieces,Actual Weight,Actual Weight Units,Meter Number,Child Account Number,Master Air Waybill Number,Sender Company Name,Sender Contact Name,Sender Address Line 1,Sender Address Line 2,Sender Address Line 3,Sender Address City,Sender Address State,Sender Address Postal,Sender Address Country/Territory,Recipient Company Name,Recipient Contact Name,Recipient Address Line 1,Recipient Address Line 2,Recipient Address Line 3,Recipient Address City,Recipient Address State,Recipient Address Postal,Recipient Address Country/Territory,MPS Package Tracking ID,Dim Length,Dim Width,Dim Height,Dim Divisor,Dim Unit,Rated Weight Amount,Rated Weight Units,Zone Code,Air Waybill Total Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,57.34,,,,1795.73,,,936725700869,Shipper,,,,,,,3/10/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,24.1,KG,,,,Nicholson LLC,Charlene Ward-Miller,9 Howard Union,,,New Kate,,S97 4JY,GB,Atkinson-Carter,Denise Watson,Flat 78 Gary Tunnel,,,East Ambermouth,,RM1 5PD,GB,,,,,,,24.1,KG,2,57.34,Duty and Tax Forwarding Charge,13.99,Remote Area Surcharge,8.09,Transportation Charge,35.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,52.00,,,,1795.73,,,126146287812,Shipper,,,,,,,3/6/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,8.7,KG,,,,Bates-Wilson,Thomas Green,Flat 66 King Fords,,,Dylanberg,,E30 8PW,GB,"Lewis, Marsden and Peters",Charlene Hall,903 Dennis Street,,,Raymondbury,,SP0R 8BW,GB,,,,,,,8.7,KG,2,52.00,Additional Handling Charge,16.93,Duty and Tax Forwarding Charge,14.64,Declared Value Charge,8.32,Remote Area Surcharge,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,32.85,,,,1795.73,,,888433966645,Shipper,,,,,,,3/22/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,12.2,KG,,,,Russell Ltd,Frank Taylor,Flat 9 Kathryn Club,,,Catherineside,,ME5N 8JU,GB,"Henderson, Patterson and Morrison",Ms Donna James,8 Taylor Stream,,,South Richardchester,,S86 7TQ,GB,,,,,,,12.2,KG,6,32.85,Saturday Delivery,20.26,Duty and Tax Forwarding Charge,12.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,39.04,,,,1795.73,,,459908473687,Shipper,,,,,,,3/8/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,8.9,KG,,,,Smith Ltd,Dr Donald Hammond,1 Hunter Radial,,,Hutchinsonfurt,,LU0H 8UP,GB,Bailey-Chamberlain,Jason Humphreys,792 Smith Street,,,West Jacobview,,HD2E 6HL,GB,,,,,,,8.9,KG,3,39.04,Saturday Delivery,21.40,Remote Area Surcharge,8.94,Declared Value Charge,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,124.35,,,,1795.73,,,152800445460,Shipper,,,,,,,3/24/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,9.6,KG,,,,Thompson-Jones,Miss Alexandra McCarthy,46 Paige Crossroad,,,West Arthur,,B9T 3RW,GB,Hanson-Smith,Donald Reed,Studio 07 Brett Passage,,,North Richardbury,,E2D 6NG,GB,,,,,,,9.6,KG,5,124.35,Transportation Charge,86.98,Fuel Surcharge,20.67,Saturday Delivery,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,52.87,,,,1795.73,,,879874574069,Shipper,,,,,,,3/26/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,18.8,KG,,,,Holmes-Glover,Brandon Daly,98 King Ports,,,West Amandashire,,L4K 1SX,GB,Stone-Henderson,Mrs Amelia Coles,Studio 16 Tracey Mountains,,,South Bethan,,B9H 5QU,GB,,,,,,,18.8,KG,5,52.87,Additional Handling Charge,25.29,Fuel Surcharge,22.60,Declared Value Charge,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,31.42,,,,1795.73,,,930981279092,Shipper,,,,,,,3/11/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,4.7,KG,,,,Smith Inc,Mrs Rosie Smith,256 Davies Centers,,,Oliviamouth,,EC1N 9UH,GB,"Lee, Patel and Henderson",Arthur Murphy,Flat 23O Rachael Camp,,,North Paula,,S67 9UX,GB,,,,,,,4.7,KG,5,31.42,Remote Area Surcharge,13.24,Saturday Delivery,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,62.05,,,,1795.73,,,933439835792,Shipper,,,,,,,3/1/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,17.4,KG,,,,Lawrence Ltd,Danielle Khan,5 Iain Station,,,Berrytown,,EN42 5TZ,GB,Walker-Simpson,Ms Mandy Brown,710 Josh Flats,,,Joetown,,BT9 5GJ,GB,,,,,,,17.4,KG,3,62.05,Saturday Delivery,20.55,Duty and Tax Forwarding Charge,11.17,Additional Handling Charge,25.13,Declared Value Charge,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,65.58,,,,1795.73,,,965940506209,Shipper,,,,,,,3/18/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,10.6,KG,,,,Barnes and Sons,Dennis Thomas,Studio 5 Wallace Cliff,,,Port Ann,,S33 3BB,GB,Brown PLC,Carolyn John,66 Sian Shores,,,Kimville,,G56 1EH,GB,,,,,,,10.6,KG,3,65.58,Saturday Delivery,20.61,Duty and Tax Forwarding Charge,14.25,Fuel Surcharge,5.42,Additional Handling Charge,25.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,47.61,,,,1795.73,,,295565045257,Shipper,,,,,,,3/4/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,14.2,KG,,,,"Cartwright, Howard and Ward",Mrs Alison Bryant,Flat 7 Burton Stream,,,Lake John,,WV1 3RP,GB,Martin Ltd,Sean Harvey,Studio 92Y Jeremy Landing,,,Bryanside,,EH6 0BD,GB,,,,,,,14.2,KG,2,47.61,Duty and Tax Forwarding Charge,13.20,Remote Area Surcharge,12.33,Saturday Delivery,19.20,Declared Value Charge,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
