Version,Recipient Number,Account Number,Account Country,Invoice Date,Invoice Number,Invoice Type Code,Invoice Type Detail Code,Account Tax ID,Invoice Currency Code,Invoice Amount,Transaction Date,Pickup Record Number,Lead Shipment Number,World Ease Number,Shipment Reference Number 1,Shipment Reference Number 2,Bill Option Code,Package Quantity,Oversize Quantity,Tracking Number,Package Reference Number 1,Package Reference Number 2,Package Reference Number 3,Package Reference Number 4,Package Reference Number 5,Entered Weight,Entered Weight Unit of Measure,Billed Weight,Billed Weight Unit of Measure,Container Type,Billed Weight Type,Package Dimensions,Zone,Charge Category Code,Charge Category Detail Code,Charge Source,Type Code 1,Type Detail Code 1,Type Detail Value 1,Type Code 2,Type Detail Code 2,Type Detail Value 2,Charge Classification Code,Charge Description Code,Charge Description,Charged Unit Quantity,Basis Currency Code,Basis Value,Tax Indicator,Transaction Currency Code,Incentive Amount,Net Amount,Miscellaneous Currency Code,Miscellaneous Incentive Amount,Miscellaneous Net Amount,Alternate Invoicing Currency Code,Alternate Invoice Amount,Invoice Exchange Rate,Tax Variance Amount,Currency Variance Amount,Invoice Level Charge,Invoice Due Date,Alternate Invoice Number,Store Number,Customer Reference Number,Sender Name,Sender Company Name,Sender Address Line 1,Sender Address Line 2,Sender City,Sender State,Sender Postal,Sender Country,Receiver Name,Receiver Company Name,Receiver Address Line 1,Receiver Address Line 2,Receiver City,Receiver State,Receiver Postal,Receiver Country,Third Party Name,Third Party Company Name,Third Party Address Line 1,Third Party Address Line 2,Third Party City,Third Party State,Third Party Postal,Third Party Country,Sold To Name,Sold To Company Name,Sold To Address Line 1,Sold To Address Line 2,Sold To City,Sold To State,Sold To Postal,Sold To Country,Miscellaneous Address Qual 1,Miscellaneous Address 1 Name,Miscellaneous Address 1 Company Name,Miscellaneous Address 1 Address Line 1,Miscellaneous Address 1 Address Line 2,Miscellaneous Address 1 City,Miscellaneous Address 1 State,Miscellaneous Address 1 Postal,Miscellaneous Address 1 Country,Miscellaneous Address Qual 2,Miscellaneous Address 2 Name,Miscellaneous Address 2 Company Name,Miscellaneous Address 2 Address Line 1,Miscellaneous Address 2 Address Line 2,Miscellaneous Address 2 City,Miscellaneous Address 2 State,Miscellaneous Address 2 Postal,Miscellaneous Address 2 Country,Shipment Date,Shipment Export Date,Shipment Import Date,Entry Date,Direct Shipment Date,Shipment Delivery Date,Shipment Release Date,Cycle Date,EFT Date,Validation Date,Entry Port,Entry Number,Export Place,Shipment Value Amount,Shipment Description,Entered Currency Code,Customs Number,Exchange Rate,Master Air Waybill Number,EPU,Entry Type,CPC Code,Line Item Number,Goods Description,Entered Value,Duty Amount,Weight,Unit of Measure,Item Quantity,Item Quantity Unit of Measure,Import Tax ID,Declaration Number,Carrier Name/Clinical Trial Identification Number/SDS ID,CCCD Number,Cycle Number,Foreign Trade Reference Number,Job Number,Transport Mode,Tax Type,Tariff Code,Tariff Rate,Tariff Treatment Number,Contact Name,Class Number,Document Type,Office Number,Document Number,Duty Value,Total Value for Duty,Excise Tax Amount,Excise Tax Rate,GST Amount,GST Rate,Order In Council,Origin Country,SIMA Access,Tax Value,Total Customs Amount,Miscellaneous Line 1,Miscellaneous Line 2,Miscellaneous Line 3,Miscellaneous Line 4,Miscellaneous Line 5,Payor Role Code,Miscellaneous Line 7,Miscellaneous Line 8,Miscellaneous Line 9,Miscellaneous Line 10,Miscellaneous Line 11,Duty Rate,VAT Basis Amount,VAT Amount,VAT Rate,Other Basis Amount,Other Amount,Other Rate,Other Customs Number Indicator,Other Customs Number,Customs Office Name,Package Dimension Unit Of Measure,Original Shipment Package Quantity,Corrected Zone,Tax Law Article Number,Tax Law Article Basis Amount,Original tracking number,Scale weight quantity,Scale Weight Unit of Measure,Raw dimension unit of measure,Raw dimension length,BOL # 1,BOL # 2,BOL # 3,BOL # 4,BOL # 5,PO # 1,PO # 2,PO # 3,PO # 4,PO # 5,PO # 6,PO # 7,PO # 8,PO # 9,PO # 10,NMFC,Detail Class,Freight Sequence Number,Declared Freight Class,EORI Number,Detail Keyed Dim,Detail Keyed Unit of Measure,Detail Keyed Billed Dimension,Detail Keyed Billed Unit of Measure,Original Service Description,Promo Discount Applied Indicator,Promo Discount Alias,SDS Match Level Cd,SDS RDR Date,SDS Delivery Date,SDS Error Code,Place Holder 46,Place Holder 47,Place Holder 48,SCC Scale Weight,Place Holder 50,Place Holder 51,Place Holder 52,Place Holder 53,Place Holder 54,Place Holder 55,Place Holder 56,Place Holder 57,Place Holder 58,Place Holder 59
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,49.52,2026-03-24,9100556651,1ZGIB8MW7257008693,,,,,1,,1Z8CZ3C80496442033,,,,,,33.7,LB,33.7,LB,,,,3,,,,,,,,,,FRT,FRT,Transportation Charges,,USD,40.21,,USD,3.30,36.91,,,,,,,,,,,,,,Matthew Pham,Jackson-Walker,98850 Lauren Estate,,South Ashley,NJ,23086,US,Kevin Parker,"Kelly, Jensen and Fischer",8310 Christina Mount,,Danielleland,CA,45730,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground Saver,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,49.52,2026-03-24,9100556651,1ZGIB8MW7257008693,,,,,1,,1Z8CZ3C80496442033,,,,,,33.7,LB,33.7,LB,,,,3,,,,,,,,,,FSC,FSC,Fuel Surcharges,,USD,13.92,,USD,1.31,12.61,,,,,,,,,,,,,,Matthew Pham,Jackson-Walker,98850 Lauren Estate,,South Ashley,NJ,23086,US,Kevin Parker,"Kelly, Jensen and Fischer",8310 Christina Mount,,Danielleland,CA,45730,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground Saver,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,72.88,2026-03-03,2368235466,1Z446QNL9666456748,,,,,1,,1ZH6ZTPU9908473687,,,,,,22.1,LB,22.1,LB,,,,4,,,,,,,,,,FRT,FRT,Transportation Charges,,USD,64.20,,USD,1.75,62.45,,,,,,,,,,,,,,Samantha Miller,Davis Group,97266 Wade Fords,,Patriciaberg,FL,10191,US,Christopher Cook,Estrada Ltd,93903 Dixon Street Suite 130,,Butlerton,TX,67577,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,72.88,2026-03-03,2368235466,1Z446QNL9666456748,,,,,1,,1ZH6ZTPU9908473687,,,,,,22.1,LB,22.1,LB,,,,4,,,,,,,,,,TAX,TAX,Taxes,,USD,11.38,,USD,0.95,10.43,,,,,,,,,,,,,,Samantha Miller,Davis Group,97266 Wade Fords,,Patriciaberg,FL,10191,US,Christopher Cook,Estrada Ltd,93903 Dixon Street Suite 130,,Butlerton,TX,67577,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,105.68,2026-03-08,1672930981,1ZP1I0Y86447412718,,,,,1,,1Z0860QU7406981544,,,,,,9.4,LB,9.4,LB,,,,8,,,,,,,,,,FRT,FRT,Transportation Charges,,USD,85.12,,USD,3.85,81.27,,,,,,,,,,,,,,Sean Robinson,"Mckinney, Dunn and Gonzales",914 Tran Parks,,Marcusstad,VI,72866,US,Courtney Peterson,"Lee, Nixon and Gibbs",92184 Roy Track Suite 368,,Montestown,NM,96101,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,105.68,2026-03-08,1672930981,1ZP1I0Y86447412718,,,,,1,,1Z0860QU7406981544,,,,,,9.4,LB,9.4,LB,,,,8,,,,,,,,,,ACC,ACC,Accessorial Charges,,USD,27.52,,USD,3.11,24.41,,,,,,,,,,,,,,Sean Robinson,"Mckinney, Dunn and Gonzales",914 Tran Parks,,Marcusstad,VI,72866,US,Courtney Peterson,"Lee, Nixon and Gibbs",92184 Roy Track Suite 368,,Montestown,NM,96101,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,122.38,2026-03-03,9659405062,1ZLFXFEH3884914142,,,,,1,,1ZHEIMUU3787867463,,,,,,7.7,LB,7.7,LB,,,,3,,,,,,,,,,FRT,FRT,Transportation Charges,,USD,82.27,,USD,7.92,74.35,,,,,,,,,,,,,,Philip Owens,Brown Group,17997 Reeves Overpass,,East Christinaside,FM,24289,US,Morgan Edwards,Peters LLC,59179 Mark Fork,,West Tiffanyview,SD,41477,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground Saver,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,122.38,2026-03-03,9659405062,1ZLFXFEH3884914142,,,,,1,,1ZHEIMUU3787867463,,,,,,7.7,LB,7.7,LB,,,,3,,,,,,,,,,FSC,FSC,Fuel Surcharges,,USD,15.27,,USD,1.08,14.19,,,,,,,,,,,,,,Philip Owens,Brown Group,17997 Reeves Overpass,,East Christinaside,FM,24289,US,Morgan Edwards,Peters LLC,59179 Mark Fork,,West Tiffanyview,SD,41477,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground Saver,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,122.38,2026-03-03,9659405062,1ZLFXFEH3884914142,,,,,1,,1ZHEIMUU3787867463,,,,,,7.7,LB,7.7,LB,,,,3,,,,,,,,,,ACC,ACC,Accessorial Charges,,USD,26.58,,USD,1.11,25.47,,,,,,,,,,,,,,Philip Owens,Brown Group,17997 Reeves Overpass,,East Christinaside,FM,24289,US,Morgan Edwards,Peters LLC,59179 Mark Fork,,West Tiffanyview,SD,41477,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground Saver,,,,,,,,,,,,,,,,,,,,
6.1,KX2RDL,KX2RDL,US,2026-03-31,ULN-0563196946,01,01,,USD,122.38,2026-03-03,9659405062,1ZLFXFEH3884914142,,,,,1,,1ZHEIMUU3787867463,,,,,,7.7,LB,7.7,LB,,,,3,,,,,,,,,,TAX,TAX,Taxes,,USD,9.26,,USD,0.89,8.37,,,,,,,,,,,,,,Philip Owens,Brown Group,17997 Reeves Overpass,,East Christinaside,FM,24289,US,Morgan Edwards,Peters LLC,59179 Mark Fork,,West Tiffanyview,SD,41477,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS Ground Saver,,,,,,,,,,,,,,,,,,,,
